,Age,YrsOfExp,Level,AISelect,AIComplex,AIAcc,AISent
26,45-54,24.0,Distinguished Engineer/Fellow,Daily,Bad,Neither trust nor distrust,Indifferent
27,35-44,13.0,Staff/Lead Developer,Weekly,Neither good or bad,Somewhat trust,Favorable
28,35-44,19.0,Principal,Daily,Very poor,Somewhat distrust,Favorable
29,35-44,20.0,Principal,Monthly,Bad,Neither trust nor distrust,Indifferent
30,35-44,17.0,Principal,I don't plan to use AI,I don't use AI for complex tasks,Highly distrust,Very unfavorable
31,45-54,26.0,Distinguished Engineer/Fellow,I don't plan to use AI,I don't use AI for complex tasks,Somewhat trust,Favorable
32,45-54,24.0,Distinguished Engineer/Fellow,I don't plan to use AI,Bad,Neither trust nor distrust,Indifferent
33,35-44,22.0,Distinguished Engineer/Fellow,Daily,"Good, but not great",Neither trust nor distrust,Very favorable
34,25-34,10.0,Senior Developer,Daily,"Good, but not great",Somewhat trust,Very favorable
35,25-34,10.0,Senior Developer,Daily,Bad,Somewhat trust,Favorable
36,35-44,15.0,Staff/Lead Developer,I don't plan to use AI,Very poor,Highly distrust,Very unfavorable
37,45-54,25.0,Distinguished Engineer/Fellow,Daily,"Good, but not great",Somewhat trust,Favorable
38,45-54,7.0,Senior Developer,Monthly,Bad,Highly distrust,Unfavorable
39,45-54,33.0,Veteran/Executive,Daily,Bad,Somewhat trust,Favorable
40,45-54,25.0,Distinguished Engineer/Fellow,Daily,Bad,Somewhat distrust,Favorable
41,35-44,25.0,Distinguished Engineer/Fellow,Daily,Very well,Somewhat trust,Favorable
42,25-34,8.0,Senior Developer,Monthly,Very poor,Somewhat distrust,Unfavorable
43,25-34,4.0,Mid-Level Developer,I don't plan to use AI,Bad,Somewhat distrust,Indifferent
44,45-54,20.0,Principal,I don't plan to use AI,Bad,Highly distrust,Very unfavorable
45,25-34,5.0,Mid-Level Developer,Monthly,I don't use AI for complex tasks,Neither trust nor distrust,Indifferent
46,35-44,15.0,Staff/Lead Developer,Monthly,Very poor,Highly distrust,Unfavorable
47,25-34,6.0,Mid-Level Developer,Daily,Bad,Neither trust nor distrust,Favorable
48,35-44,10.0,Senior Developer,Daily,"Good, but not great",Highly trust,Very favorable
49,35-44,15.0,Staff/Lead Developer,Monthly,Bad,Highly distrust,Favorable
50,35-44,20.0,Principal,Weekly,"Good, but not great",Somewhat distrust,Favorable
51,35-44,8.0,Senior Developer,Weekly,Bad,Somewhat distrust,Indifferent
52,25-34,13.0,Staff/Lead Developer,Daily,"Good, but not great",Somewhat trust,Favorable
53,18-24,3.0,Junior Developer,Monthly,Very poor,Somewhat distrust,Unfavorable
54,>=65,45.0,Veteran/Executive,I don't plan to use AI,I don't use AI for complex tasks,Somewhat distrust,Unfavorable
55,35-44,12.0,Staff/Lead Developer,Daily,Very well,Highly trust,Very favorable
56,18-24,4.0,Mid-Level Developer,Monthly,Very poor,Somewhat distrust,Unfavorable
57,45-54,20.0,Principal,Daily,"Good, but not great",Somewhat trust,Favorable
58,35-44,17.0,Principal,Daily,"Good, but not great",Somewhat trust,Favorable
59,45-54,30.0,Distinguished Engineer/Fellow,Daily,Neither good or bad,Somewhat trust,Favorable
60,25-34,7.0,Senior Developer,Monthly,Bad,Somewhat distrust,Favorable
61,45-54,26.0,Distinguished Engineer/Fellow,Weekly,Bad,Somewhat distrust,Indifferent
62,18-24,1.0,Junior Developer,Weekly,Very poor,Highly distrust,Indifferent
63,25-34,6.0,Mid-Level Developer,I don't plan to use AI,I don't use AI for complex tasks,Highly distrust,Unsure
64,25-34,6.0,Mid-Level Developer,Weekly,Very poor,Highly distrust,Very unfavorable
65,25-34,9.0,Senior Developer,Daily,"Good, but not great",Highly trust,Very favorable
66,45-54,31.0,Veteran/Executive,Monthly,Bad,Somewhat trust,Indifferent
67,45-54,22.0,Distinguished Engineer/Fellow,Daily,Neither good or bad,Neither trust nor distrust,Favorable
68,25-34,13.0,Staff/Lead Developer,I plan to use AI soon,I don't use AI for complex tasks,Neither trust nor distrust,Unsure
69,18-24,3.0,Junior Developer,I don't plan to use AI,I don't use AI for complex tasks,Somewhat distrust,Unfavorable
70,25-34,10.0,Senior Developer,Weekly,Neither good or bad,Neither trust nor distrust,Favorable
71,55-64,36.0,Veteran/Executive,Daily,"Good, but not great",Somewhat trust,Very favorable
72,25-34,8.0,Senior Developer,Daily,Very poor,Neither trust nor distrust,Very favorable
73,35-44,15.0,Staff/Lead Developer,Monthly,I don't use AI for complex tasks,Somewhat distrust,Favorable
74,35-44,8.0,Senior Developer,Weekly,Very poor,Somewhat distrust,Unfavorable
75,35-44,22.0,Distinguished Engineer/Fellow,Daily,Very well,Somewhat trust,Very favorable
76,>=65,40.0,Veteran/Executive,I plan to use AI soon,Neither good or bad,Neither trust nor distrust,Indifferent
77,35-44,10.0,Senior Developer,Weekly,Neither good or bad,Highly trust,Favorable
78,55-64,35.0,Veteran/Executive,Weekly,Bad,Highly distrust,Favorable
79,35-44,12.0,Staff/Lead Developer,I don't plan to use AI,Bad,Somewhat distrust,Unfavorable
80,25-34,9.0,Senior Developer,Daily,Bad,Neither trust nor distrust,Very favorable
81,35-44,15.0,Staff/Lead Developer,Weekly,Very poor,Somewhat distrust,Unfavorable
82,25-34,15.0,Staff/Lead Developer,Daily,Bad,Somewhat distrust,Unfavorable
83,35-44,15.0,Staff/Lead Developer,Daily,Bad,Somewhat trust,Very favorable
84,18-24,2.0,Junior Developer,Daily,Neither good or bad,Somewhat trust,Favorable
85,18-24,2.0,Junior Developer,Monthly,Very poor,Highly distrust,Unfavorable
86,25-34,6.0,Mid-Level Developer,Daily,Very well,Somewhat trust,Very favorable
87,35-44,12.0,Staff/Lead Developer,Daily,Very well,Highly trust,Very favorable
88,55-64,38.0,Veteran/Executive,Weekly,Bad,Somewhat distrust,Favorable
89,35-44,6.0,Mid-Level Developer,Daily,Very well,Somewhat trust,Very favorable
90,45-54,25.0,Distinguished Engineer/Fellow,Daily,Bad,Somewhat trust,Very favorable
91,35-44,25.0,Distinguished Engineer/Fellow,Weekly,Neither good or bad,Neither trust nor distrust,Favorable
92,45-54,33.0,Veteran/Executive,I don't plan to use AI,Bad,Somewhat distrust,Unfavorable
93,45-54,26.0,Distinguished Engineer/Fellow,Monthly,Very poor,Highly distrust,Indifferent
94,25-34,3.0,Junior Developer,Daily,Very poor,Somewhat distrust,Favorable
95,18-24,1.0,Junior Developer,I don't plan to use AI,I don't use AI for complex tasks,Highly distrust,Very unfavorable
96,45-54,26.0,Distinguished Engineer/Fellow,Daily,"Good, but not great",Neither trust nor distrust,Very favorable
97,45-54,25.0,Distinguished Engineer/Fellow,I don't plan to use AI,I don't use AI for complex tasks,Highly distrust,Very unfavorable
98,35-44,15.0,Staff/Lead Developer,I plan to use AI soon,I don't use AI for complex tasks,Highly distrust,Unfavorable
99,35-44,17.0,Principal,Daily,Bad,Somewhat distrust,Favorable
100,25-34,10.0,Senior Developer,Daily,"Good, but not great",Somewhat trust,Favorable
101,45-54,21.0,Distinguished Engineer/Fellow,Daily,"Good, but not great",Somewhat trust,Very favorable
102,55-64,30.0,Distinguished Engineer/Fellow,Weekly,"Good, but not great",Highly trust,Very favorable
103,35-44,15.0,Staff/Lead Developer,Daily,"Good, but not great",Somewhat trust,Favorable
104,55-64,28.0,Distinguished Engineer/Fellow,I don't plan to use AI,I don't use AI for complex tasks,Highly distrust,Unfavorable
105,25-34,6.0,Mid-Level Developer,Monthly,Bad,Somewhat distrust,Unfavorable
106,25-34,10.0,Senior Developer,Daily,Bad,Somewhat distrust,Favorable
107,18-24,2.0,Junior Developer,Daily,Very poor,Somewhat trust,Indifferent
108,35-44,20.0,Principal,Daily,Bad,Somewhat trust,Very favorable
109,25-34,7.0,Senior Developer,Weekly,Very poor,Highly distrust,Indifferent
110,25-34,9.0,Senior Developer,Weekly,Very poor,Somewhat distrust,Indifferent
111,18-24,1.0,Junior Developer,I don't plan to use AI,I don't use AI for complex tasks,Highly distrust,Indifferent
112,25-34,10.0,Senior Developer,Monthly,Very poor,Somewhat distrust,Very unfavorable
113,18-24,1.0,Junior Developer,I don't plan to use AI,I don't use AI for complex tasks,Highly distrust,Unfavorable
114,25-34,4.0,Mid-Level Developer,Daily,"Good, but not great",Somewhat trust,Very favorable
115,45-54,25.0,Distinguished Engineer/Fellow,Weekly,Bad,Neither trust nor distrust,Indifferent
116,>=65,45.0,Veteran/Executive,Weekly,I don't use AI for complex tasks,Somewhat distrust,Favorable
117,45-54,22.0,Distinguished Engineer/Fellow,Daily,Neither good or bad,Neither trust nor distrust,Very favorable
118,35-44,16.0,Principal,Daily,"Good, but not great",Neither trust nor distrust,Very favorable
119,25-34,12.0,Staff/Lead Developer,I don't plan to use AI,Very poor,Highly distrust,Very unfavorable
120,25-34,8.0,Senior Developer,Daily,"Good, but not great",Somewhat trust,Very favorable
121,25-34,7.0,Senior Developer,Daily,"Good, but not great",Somewhat trust,Very favorable
122,18-24,1.0,Junior Developer,Daily,Neither good or bad,Somewhat trust,Very favorable
123,35-44,20.0,Principal,Monthly,"Good, but not great",Somewhat trust,Favorable
124,35-44,13.0,Staff/Lead Developer,Weekly,"Good, but not great",Neither trust nor distrust,Favorable
125,18-24,3.0,Junior Developer,I don't plan to use AI,I don't use AI for complex tasks,Somewhat distrust,Very unfavorable
126,45-54,25.0,Distinguished Engineer/Fellow,Daily,Bad,Neither trust nor distrust,Very favorable
127,18-24,3.0,Junior Developer,I plan to use AI soon,Neither good or bad,Neither trust nor distrust,Favorable
128,25-34,4.0,Mid-Level Developer,Monthly,Very poor,Somewhat distrust,Favorable
129,18-24,10.0,Senior Developer,Daily,Bad,Somewhat trust,Very favorable
130,18-24,2.0,Junior Developer,Weekly,Bad,Neither trust nor distrust,Favorable
131,35-44,19.0,Principal,Daily,Bad,Somewhat trust,Very favorable
132,25-34,2.0,Junior Developer,Monthly,Bad,Somewhat distrust,Very unfavorable
133,25-34,1.0,Junior Developer,Daily,Neither good or bad,Somewhat trust,Favorable
134,35-44,18.0,Principal,Daily,Bad,Somewhat trust,Favorable
135,45-54,20.0,Principal,I don't plan to use AI,Bad,Somewhat distrust,Indifferent
136,18-24,3.0,Junior Developer,I don't plan to use AI,Very poor,Highly distrust,Unfavorable
137,18-24,1.0,Junior Developer,I don't plan to use AI,Very poor,Highly distrust,Very unfavorable
138,35-44,20.0,Principal,Weekly,Bad,Highly distrust,Very unfavorable
139,55-64,38.0,Veteran/Executive,I don't plan to use AI,I don't use AI for complex tasks,Highly distrust,Very unfavorable
140,35-44,8.0,Senior Developer,I don't plan to use AI,I don't use AI for complex tasks,Highly distrust,Very unfavorable
141,25-34,7.0,Senior Developer,Daily,Bad,Somewhat distrust,Very favorable
142,25-34,5.0,Mid-Level Developer,Daily,Very poor,Somewhat distrust,Favorable
143,55-64,36.0,Veteran/Executive,Weekly,Neither good or bad,Neither trust nor distrust,Very favorable
144,35-44,15.0,Staff/Lead Developer,Daily,Bad,Somewhat trust,Very favorable
145,45-54,30.0,Distinguished Engineer/Fellow,Daily,Neither good or bad,Somewhat trust,Favorable
146,25-34,7.0,Senior Developer,Daily,"Good, but not great",Somewhat trust,Very favorable
147,35-44,15.0,Staff/Lead Developer,Monthly,I don't use AI for complex tasks,Somewhat distrust,Unfavorable
148,25-34,2.0,Junior Developer,I plan to use AI soon,"Good, but not great",Somewhat trust,Favorable
149,45-54,32.0,Veteran/Executive,Daily,Bad,Neither trust nor distrust,Very favorable
150,25-34,6.0,Mid-Level Developer,I don't plan to use AI,Bad,Neither trust nor distrust,Favorable
151,25-34,10.0,Senior Developer,Daily,Bad,Neither trust nor distrust,Very favorable
152,35-44,16.0,Principal,Daily,Neither good or bad,Neither trust nor distrust,Favorable
153,25-34,8.0,Senior Developer,Daily,"Good, but not great",Somewhat trust,Favorable
154,35-44,15.0,Staff/Lead Developer,I don't plan to use AI,Very poor,Highly distrust,Very unfavorable
155,45-54,23.0,Distinguished Engineer/Fellow,Daily,Very poor,Highly distrust,Favorable
156,45-54,15.0,Staff/Lead Developer,Weekly,"Good, but not great",Neither trust nor distrust,Favorable
157,35-44,10.0,Senior Developer,Daily,Neither good or bad,Somewhat trust,Favorable
158,35-44,11.0,Staff/Lead Developer,Daily,"Good, but not great",Highly distrust,Favorable
159,25-34,12.0,Staff/Lead Developer,Monthly,Bad,Somewhat distrust,Favorable
160,45-54,31.0,Veteran/Executive,Daily,Bad,Neither trust nor distrust,Very favorable
161,18-24,1.0,Junior Developer,I don't plan to use AI,I don't use AI for complex tasks,Highly distrust,Very unfavorable
162,25-34,6.0,Mid-Level Developer,Daily,Neither good or bad,Somewhat trust,Favorable
163,55-64,39.0,Veteran/Executive,Daily,Bad,Somewhat trust,Favorable
164,18-24,2.0,Junior Developer,Daily,"Good, but not great",Somewhat trust,Favorable
165,35-44,18.0,Principal,Daily,"Good, but not great",Neither trust nor distrust,Favorable
166,35-44,11.0,Staff/Lead Developer,Monthly,Bad,Somewhat distrust,Indifferent
167,35-44,21.0,Distinguished Engineer/Fellow,Daily,"Good, but not great",Somewhat trust,Very favorable
168,18-24,3.0,Junior Developer,Daily,Bad,Somewhat distrust,Indifferent
169,25-34,3.0,Junior Developer,Monthly,Very poor,Highly distrust,Unfavorable
170,>=65,54.0,Veteran/Executive,I don't plan to use AI,I don't use AI for complex tasks,Neither trust nor distrust,Indifferent
171,45-54,10.0,Senior Developer,I don't plan to use AI,Bad,Highly distrust,Unfavorable
172,>=65,45.0,Veteran/Executive,Daily,I don't use AI for complex tasks,Neither trust nor distrust,Favorable
173,18-24,3.0,Junior Developer,I don't plan to use AI,Very poor,Highly distrust,Very unfavorable
174,45-54,26.0,Distinguished Engineer/Fellow,Weekly,Neither good or bad,Neither trust nor distrust,Favorable
175,25-34,2.0,Junior Developer,Daily,"Good, but not great",Somewhat trust,Very favorable
176,18-24,1.0,Junior Developer,Weekly,Bad,Somewhat trust,Indifferent
177,45-54,30.0,Distinguished Engineer/Fellow,Daily,Bad,Somewhat distrust,Favorable
178,35-44,25.0,Distinguished Engineer/Fellow,I don't plan to use AI,I don't use AI for complex tasks,Somewhat distrust,Indifferent
179,35-44,12.0,Staff/Lead Developer,Daily,I don't use AI for complex tasks,Somewhat trust,Very favorable
180,18-24,2.0,Junior Developer,Daily,I don't use AI for complex tasks,Somewhat distrust,Favorable
181,45-54,20.0,Principal,I don't plan to use AI,I don't use AI for complex tasks,Neither trust nor distrust,Favorable
182,35-44,18.0,Principal,Daily,"Good, but not great",Somewhat trust,Very favorable
183,25-34,12.0,Staff/Lead Developer,Daily,"Good, but not great",Neither trust nor distrust,Favorable
184,25-34,4.0,Mid-Level Developer,Weekly,Neither good or bad,Somewhat trust,Favorable
185,45-54,25.0,Distinguished Engineer/Fellow,Monthly,Very poor,Highly distrust,Very unfavorable
186,35-44,20.0,Principal,Monthly,Very poor,Highly distrust,Unfavorable
187,35-44,17.0,Principal,Weekly,Very poor,Somewhat distrust,Favorable
188,35-44,20.0,Principal,Daily,Neither good or bad,Somewhat trust,Very favorable
189,45-54,25.0,Distinguished Engineer/Fellow,Daily,Very poor,Highly distrust,Unfavorable
190,25-34,10.0,Senior Developer,I don't plan to use AI,I don't use AI for complex tasks,Highly distrust,Very unfavorable
191,25-34,4.0,Mid-Level Developer,Daily,Bad,Somewhat distrust,Favorable
192,35-44,25.0,Distinguished Engineer/Fellow,I don't plan to use AI,I don't use AI for complex tasks,Highly distrust,Unfavorable
193,18-24,1.0,Junior Developer,Weekly,Neither good or bad,Somewhat trust,Favorable
194,18-24,4.0,Mid-Level Developer,Daily,"Good, but not great",Somewhat trust,Favorable
195,25-34,12.0,Staff/Lead Developer,Weekly,Very poor,Highly distrust,Very unfavorable
196,45-54,24.0,Distinguished Engineer/Fellow,Monthly,Bad,Somewhat trust,Favorable
197,35-44,6.0,Mid-Level Developer,Monthly,Very poor,Highly distrust,Very unfavorable
198,18-24,4.0,Mid-Level Developer,I don't plan to use AI,I don't use AI for complex tasks,Somewhat distrust,Very unfavorable
199,18-24,2.0,Junior Developer,Daily,Bad,Highly distrust,Very unfavorable
200,35-44,17.0,Principal,Weekly,Very poor,Somewhat distrust,Favorable
201,25-34,8.0,Senior Developer,Daily,"Good, but not great",Somewhat trust,Favorable
202,25-34,5.0,Mid-Level Developer,Daily,Neither good or bad,Somewhat trust,Very favorable
203,18-24,5.0,Mid-Level Developer,Monthly,Very poor,Somewhat distrust,Favorable
204,35-44,1.0,Junior Developer,Weekly,Bad,Somewhat distrust,Indifferent
205,35-44,21.0,Distinguished Engineer/Fellow,Weekly,Bad,Somewhat distrust,Favorable
206,18-24,1.0,Junior Developer,Weekly,Bad,Neither trust nor distrust,Indifferent
207,35-44,13.0,Staff/Lead Developer,Daily,Very poor,Somewhat distrust,Very favorable
208,25-34,1.0,Junior Developer,Daily,"Good, but not great",Neither trust nor distrust,Very favorable
209,25-34,6.0,Mid-Level Developer,Weekly,"Good, but not great",Somewhat distrust,Indifferent
210,45-54,21.0,Distinguished Engineer/Fellow,Daily,Neither good or bad,Neither trust nor distrust,Favorable
211,35-44,14.0,Staff/Lead Developer,Daily,Bad,Somewhat trust,Favorable
212,35-44,15.0,Staff/Lead Developer,Daily,Bad,Somewhat distrust,Very favorable
213,45-54,25.0,Distinguished Engineer/Fellow,Daily,Bad,Somewhat distrust,Indifferent
214,35-44,20.0,Principal,I don't plan to use AI,I don't use AI for complex tasks,Somewhat distrust,Very unfavorable
215,35-44,12.0,Staff/Lead Developer,I don't plan to use AI,Bad,Somewhat distrust,Unfavorable
216,45-54,25.0,Distinguished Engineer/Fellow,Daily,Very poor,Somewhat distrust,Unfavorable
217,>=65,35.0,Veteran/Executive,I plan to use AI soon,I don't use AI for complex tasks,Neither trust nor distrust,Unsure
218,35-44,15.0,Staff/Lead Developer,Daily,Bad,Somewhat trust,Very favorable
219,35-44,15.0,Staff/Lead Developer,Monthly,Bad,Somewhat distrust,Favorable
220,25-34,13.0,Staff/Lead Developer,Weekly,Very poor,Highly distrust,Indifferent
221,35-44,13.0,Staff/Lead Developer,Daily,Neither good or bad,Somewhat trust,Favorable
222,35-44,13.0,Staff/Lead Developer,Daily,Very well,Highly trust,Very favorable
223,18-24,3.0,Junior Developer,Monthly,Very poor,Somewhat distrust,Favorable
224,45-54,27.0,Distinguished Engineer/Fellow,Daily,Neither good or bad,Neither trust nor distrust,Indifferent
225,35-44,9.0,Senior Developer,Monthly,I don't use AI for complex tasks,Somewhat trust,Favorable
226,25-34,5.0,Mid-Level Developer,Daily,Bad,Neither trust nor distrust,Favorable
227,25-34,9.0,Senior Developer,Daily,Very well,Highly trust,Very favorable
228,45-54,22.0,Distinguished Engineer/Fellow,Daily,Very well,Neither trust nor distrust,Very favorable
229,35-44,6.0,Mid-Level Developer,Monthly,Bad,Somewhat distrust,Indifferent
230,45-54,35.0,Veteran/Executive,Daily,Neither good or bad,Somewhat trust,Indifferent
231,35-44,25.0,Distinguished Engineer/Fellow,Daily,Bad,Neither trust nor distrust,Very favorable
232,25-34,3.0,Junior Developer,I don't plan to use AI,I don't use AI for complex tasks,Somewhat distrust,Very unfavorable
233,25-34,6.0,Mid-Level Developer,Daily,Bad,Highly distrust,Very favorable
234,25-34,10.0,Senior Developer,Daily,Very poor,Highly distrust,Favorable
235,25-34,8.0,Senior Developer,I plan to use AI soon,I don't use AI for complex tasks,Highly distrust,Indifferent
236,45-54,28.0,Distinguished Engineer/Fellow,Daily,"Good, but not great",Somewhat trust,Favorable
237,55-64,24.0,Distinguished Engineer/Fellow,Monthly,"Good, but not great",Somewhat trust,Very favorable
238,25-34,10.0,Senior Developer,Daily,Very well,Highly trust,Very favorable
239,25-34,4.0,Mid-Level Developer,Weekly,"Good, but not great",Somewhat trust,Favorable
240,25-34,8.0,Senior Developer,I plan to use AI soon,I don't use AI for complex tasks,Somewhat distrust,Indifferent
241,35-44,13.0,Staff/Lead Developer,Daily,"Good, but not great",Neither trust nor distrust,Very favorable
242,18-24,1.0,Junior Developer,Weekly,Very poor,Somewhat distrust,Indifferent
243,18-24,4.0,Mid-Level Developer,Daily,Neither good or bad,Somewhat distrust,Indifferent
244,35-44,12.0,Staff/Lead Developer,Weekly,Neither good or bad,Somewhat trust,Favorable
245,25-34,1.0,Junior Developer,Daily,"Good, but not great",Neither trust nor distrust,Favorable
246,35-44,17.0,Principal,Weekly,Bad,Neither trust nor distrust,Favorable
247,25-34,5.0,Mid-Level Developer,Daily,"Good, but not great",Neither trust nor distrust,Favorable
248,>=65,39.0,Veteran/Executive,Daily,"Good, but not great",Somewhat trust,Very favorable
249,55-64,42.0,Veteran/Executive,Weekly,"Good, but not great",Somewhat trust,Favorable
250,25-34,10.0,Senior Developer,Daily,Very poor,Somewhat distrust,Favorable
251,25-34,10.0,Senior Developer,Weekly,Bad,Somewhat distrust,Favorable
252,>=65,46.0,Veteran/Executive,I don't plan to use AI,I don't use AI for complex tasks,Highly distrust,Very unfavorable
253,45-54,20.0,Principal,I don't plan to use AI,Very poor,Highly distrust,Very unfavorable
254,45-54,20.0,Principal,I don't plan to use AI,Very poor,Somewhat distrust,Unsure
255,45-54,20.0,Principal,Weekly,Bad,Somewhat distrust,Indifferent
256,18-24,1.0,Junior Developer,Daily,Very poor,Somewhat trust,Very favorable
257,35-44,13.0,Staff/Lead Developer,Daily,"Good, but not great",Somewhat trust,Very favorable
258,35-44,12.0,Staff/Lead Developer,Daily,"Good, but not great",Neither trust nor distrust,Very favorable
259,55-64,38.0,Veteran/Executive,Weekly,Neither good or bad,Neither trust nor distrust,Favorable
260,18-24,1.0,Junior Developer,Weekly,I don't use AI for complex tasks,Somewhat trust,Favorable
261,25-34,17.0,Principal,I don't plan to use AI,I don't use AI for complex tasks,Highly distrust,Very unfavorable
262,35-44,11.0,Staff/Lead Developer,I don't plan to use AI,I don't use AI for complex tasks,Neither trust nor distrust,Very unfavorable
263,35-44,15.0,Staff/Lead Developer,I don't plan to use AI,Neither good or bad,Neither trust nor distrust,Unfavorable
264,35-44,16.0,Principal,Monthly,Bad,Somewhat distrust,Indifferent
265,55-64,33.0,Veteran/Executive,I don't plan to use AI,I don't use AI for complex tasks,Somewhat distrust,Very unfavorable
266,35-44,20.0,Principal,Daily,Neither good or bad,Somewhat trust,Very favorable
267,25-34,13.0,Staff/Lead Developer,Daily,Very well,Somewhat trust,Favorable
268,25-34,5.0,Mid-Level Developer,Daily,"Good, but not great",Neither trust nor distrust,Very favorable
269,55-64,45.0,Veteran/Executive,Daily,Neither good or bad,Somewhat trust,Very favorable
270,35-44,20.0,Principal,Monthly,Bad,Somewhat distrust,Unfavorable
271,35-44,10.0,Senior Developer,Daily,Very well,Somewhat distrust,Very favorable
272,35-44,17.0,Principal,I plan to use AI soon,I don't use AI for complex tasks,Somewhat trust,Indifferent
273,35-44,15.0,Staff/Lead Developer,I don't plan to use AI,I don't use AI for complex tasks,Highly distrust,Very unfavorable
274,45-54,25.0,Distinguished Engineer/Fellow,Daily,"Good, but not great",Highly trust,Indifferent
275,35-44,2.0,Junior Developer,Daily,"Good, but not great",Somewhat trust,Favorable
276,18-24,3.0,Junior Developer,I don't plan to use AI,I don't use AI for complex tasks,Highly distrust,Very unfavorable
277,18-24,4.0,Mid-Level Developer,Monthly,Very poor,Highly distrust,Unfavorable
278,35-44,15.0,Staff/Lead Developer,Daily,"Good, but not great",Somewhat trust,Favorable
279,35-44,13.0,Staff/Lead Developer,Daily,Bad,Somewhat distrust,Favorable
280,18-24,1.0,Junior Developer,Weekly,Bad,Neither trust nor distrust,Favorable
281,45-54,25.0,Distinguished Engineer/Fellow,Daily,Very poor,Highly distrust,Favorable
282,55-64,32.0,Veteran/Executive,Daily,Very well,Somewhat trust,Very favorable
283,45-54,22.0,Distinguished Engineer/Fellow,Weekly,Bad,Somewhat distrust,Indifferent
284,45-54,21.0,Distinguished Engineer/Fellow,Daily,"Good, but not great",Somewhat trust,Very favorable
285,45-54,29.0,Distinguished Engineer/Fellow,Daily,Neither good or bad,Somewhat trust,Favorable
286,35-44,13.0,Staff/Lead Developer,Weekly,"Good, but not great",Somewhat trust,Favorable
287,18-24,1.0,Junior Developer,I plan to use AI soon,Bad,Neither trust nor distrust,Indifferent
288,35-44,10.0,Senior Developer,I don't plan to use AI,Very poor,Highly distrust,Very unfavorable
289,45-54,20.0,Principal,Daily,Very poor,Highly distrust,Favorable
290,55-64,40.0,Veteran/Executive,Daily,"Good, but not great",Somewhat trust,Very favorable
291,35-44,17.0,Principal,Daily,Very poor,Highly distrust,Unfavorable
292,45-54,20.0,Principal,Daily,Bad,Somewhat trust,Favorable
293,45-54,27.0,Distinguished Engineer/Fellow,Daily,Very well,Somewhat trust,Very favorable
294,45-54,26.0,Distinguished Engineer/Fellow,I plan to use AI soon,Neither good or bad,Somewhat distrust,Unfavorable
295,25-34,13.0,Staff/Lead Developer,Daily,Bad,Neither trust nor distrust,Indifferent
296,25-34,14.0,Staff/Lead Developer,I plan to use AI soon,Neither good or bad,Neither trust nor distrust,Indifferent
297,25-34,3.0,Junior Developer,Daily,Very poor,Somewhat distrust,Favorable
298,25-34,13.0,Staff/Lead Developer,Weekly,Very well,Highly trust,Favorable
299,25-34,6.0,Mid-Level Developer,Monthly,Bad,Somewhat distrust,Indifferent
